Gene	cancer	HR	pvalue
LRIT3	HNSC	0.89	0.097
SP8	HNSC	1.132	0.097
BPGM	HNSC	0.887	0.098
FAHD2A	HNSC	1.122	0.098
ZNF232	HNSC	0.886	0.098
VWA9	HNSC	1.124	0.099
TMEM242	HNSC	1.126	0.099
ERH	HNSC	1.121	0.099
RAP1GDS1	HNSC	1.123	0.099
SERINC2	HNSC	1.128	0.099
SLC2A11	HNSC	1.12	0.099
ADO	HNSC	1.119	0.1
ARHGAP26	HNSC	0.893	0.1
ARID5B	HNSC	0.889	0.1
TRMT1L	HNSC	1.121	0.1
CAMSAP1	HNSC	0.893	0.1
CLTCL1	HNSC	1.124	0.1
CXORF23	HNSC	0.892	0.1
CXORF36	HNSC	0.893	0.1
ELAVL1	HNSC	0.889	0.1
ESAM	HNSC	0.894	0.1
FLNC	HNSC	1.124	0.1
FOXO4	HNSC	0.89	0.1
FUZ	HNSC	0.887	0.1
FFAR4	HNSC	0.883	0.1
HRASLS5	HNSC	0.885	0.1
HSPB3	HNSC	1.124	0.1
KANSL3	HNSC	0.894	0.1
KIRREL3	HNSC	0.89	0.1
KLHL17	HNSC	0.89	0.1
LCE3E	HNSC	0.879	0.1
LRRC70	HNSC	0.896	0.1
MAMSTR	HNSC	0.892	0.1
MED6	HNSC	1.118	0.1
MUSTN1	HNSC	1.118	0.1
PAAF1	HNSC	1.123	0.1
PLEKHA8P1	HNSC	1.12	0.1
RBM6	HNSC	0.887	0.1
SDC4	HNSC	1.125	0.1
SREK1	HNSC	0.891	0.1
SOLH	HNSC	0.891	0.1
SOX21	HNSC	0.888	0.1
SPR	HNSC	1.12	0.1
SRC	HNSC	1.119	0.1
STAG3L2	HNSC	1.123	0.1
TBL1XR1	HNSC	1.121	0.1
TMC7	HNSC	1.125	0.1
TRIM74	HNSC	0.888	0.1
VAX1	HNSC	1.127	0.1
ZNF599	HNSC	0.885	0.1
ZNF721	HNSC	0.888	0.1
ACN9	HNSC	1.118	0.11
ACPL2	HNSC	0.89	0.11
ADAD2	HNSC	0.891	0.11
ADAT3	HNSC	0.897	0.11
ANK3	HNSC	0.892	0.11
ASAP2	HNSC	1.121	0.11
BCAR1	HNSC	1.119	0.11
C2ORF66	HNSC	0.886	0.11
CCDC150	HNSC	0.89	0.11
EFHB	HNSC	0.889	0.11
ERCC5	HNSC	1.122	0.11
FAAH2	HNSC	0.893	0.11
FAM159A	HNSC	0.888	0.11
FAM186B	HNSC	0.892	0.11
FRG1	HNSC	1.124	0.11
GBA2	HNSC	0.893	0.11
GLG1	HNSC	1.123	0.11
GLTP	HNSC	0.89	0.11
GRIN2C	HNSC	0.892	0.11
HNRNPA2B1	HNSC	1.124	0.11
KDR	HNSC	0.895	0.11
KIAA1430	HNSC	1.119	0.11
KLHL30	HNSC	1.122	0.11
LOC391322	HNSC	0.888	0.11
LRRC3	HNSC	1.118	0.11
MEGF8	HNSC	0.894	0.11
NCOA2	HNSC	0.895	0.11
POGZ	HNSC	0.888	0.11
PRR12	HNSC	0.894	0.11
SDSL	HNSC	1.121	0.11
SHC1	HNSC	1.126	0.11
SLC6A9	HNSC	0.897	0.11
STK38	HNSC	0.892	0.11
TCEANC	HNSC	0.893	0.11
TKT	HNSC	1.116	0.11
TMEM139	HNSC	0.889	0.11
TUBGCP6	HNSC	0.896	0.11
UBE2NL	HNSC	1.114	0.11
UBTF	HNSC	0.888	0.11
UMODL1	HNSC	0.886	0.11
WDR27	HNSC	0.89	0.11
WDR62	HNSC	0.893	0.11
WFDC12	HNSC	0.882	0.11
ZNF235	HNSC	0.896	0.11
ZNF628	HNSC	0.892	0.11
ZNF747	HNSC	0.893	0.11
ZNF791	HNSC	0.891	0.11
ACAN	HNSC	0.894	0.12
ACE2	HNSC	0.895	0.12
ARHGAP33	HNSC	0.896	0.12
ASCC3	HNSC	1.116	0.12
ATF1	HNSC	1.119	0.12
ATP1A2	HNSC	1.116	0.12
ATXN1	HNSC	0.898	0.12
C1ORF159	HNSC	0.898	0.12
PTCHD4	HNSC	1.115	0.12
CASP3	HNSC	1.114	0.12
CCNI2	HNSC	0.893	0.12
CHST11	HNSC	1.116	0.12
CHST6	HNSC	0.892	0.12
ECSIT	HNSC	0.898	0.12
EIF4A3	HNSC	1.118	0.12
ETNK1	HNSC	0.898	0.12
EXOG	HNSC	0.895	0.12
FBXW9	HNSC	0.899	0.12
LCN10	HNSC	0.893	0.12
LILRB5	HNSC	0.895	0.12
MED7	HNSC	1.118	0.12
MFSD9	HNSC	1.117	0.12
MIOS	HNSC	1.118	0.12
KMT2A	HNSC	0.896	0.12
NAGK	HNSC	0.897	0.12
NEURL4	HNSC	0.897	0.12
NFASC	HNSC	1.112	0.12
PCDHGB3	HNSC	1.118	0.12
PHF5A	HNSC	1.122	0.12
PLA2G12A	HNSC	1.12	0.12
POU5F1	HNSC	0.89	0.12
PXMP2	HNSC	1.124	0.12
RAB19	HNSC	1.122	0.12
RIMKLB	HNSC	0.898	0.12
SIGLEC8	HNSC	0.891	0.12
SP140L	HNSC	1.116	0.12
SRRM2	HNSC	0.9	0.12
SSSCA1	HNSC	1.116	0.12
TEX264	HNSC	0.892	0.12
TREML1	HNSC	0.892	0.12
UBE2O	HNSC	1.12	0.12
VEGFA	HNSC	1.121	0.12
ZBTB47	HNSC	0.892	0.12
ZNF175	HNSC	0.895	0.12
ZNF440	HNSC	0.895	0.12
ZNF512	HNSC	0.891	0.12
ZNF660	HNSC	0.891	0.12
ZNF708	HNSC	0.896	0.12
ZNF805	HNSC	0.892	0.12
ZNF808	HNSC	0.895	0.12
A2M	HNSC	0.898	0.13
AGAP5	HNSC	0.895	0.13
AXL	HNSC	1.12	0.13
BCORL1	HNSC	1.111	0.13
C10ORF118	HNSC	0.898	0.13
FAM204A	HNSC	1.113	0.13
C12ORF63	HNSC	0.899	0.13
C14ORF181	HNSC	0.9	0.13
EFCAB13	HNSC	1.118	0.13
MSANTD1	HNSC	0.899	0.13
C7ORF49	HNSC	0.905	0.13
C9ORF117	HNSC	0.898	0.13
C9ORF47	HNSC	1.112	0.13
CHRNA1	HNSC	1.116	0.13
COL14A1	HNSC	0.899	0.13
CYP2C18	HNSC	0.898	0.13
CYSLTR1	HNSC	0.896	0.13
EIF1AX	HNSC	1.122	0.13
FAM43A	HNSC	0.894	0.13
FBXW7	HNSC	0.903	0.13
FCN3	HNSC	0.901	0.13
FKBP9	HNSC	1.112	0.13
FYN	HNSC	0.899	0.13
HDAC7	HNSC	0.897	0.13
HNRNPUL1	HNSC	0.897	0.13
KIF21B	HNSC	0.9	0.13
KLF4	HNSC	0.894	0.13
LGALS12	HNSC	0.894	0.13
METAP1D	HNSC	1.107	0.13
MSRB2	HNSC	1.116	0.13
MTCH1	HNSC	1.114	0.13
MYCL1	HNSC	0.894	0.13
ODF2L	HNSC	0.9	0.13
PABPC1	HNSC	1.104	0.13
PDGFRB	HNSC	0.898	0.13
PIGH	HNSC	1.113	0.13
PRR19	HNSC	0.895	0.13
RAB6A	HNSC	1.117	0.13
RARG	HNSC	0.897	0.13
RIC3	HNSC	0.896	0.13
RORA	HNSC	0.896	0.13
RPS6KL1	HNSC	0.897	0.13
RUNX1T1	HNSC	0.898	0.13
SLC2A8	HNSC	0.901	0.13
SLC6A16	HNSC	0.893	0.13
SPRR2D	HNSC	0.885	0.13
SYNE2	HNSC	0.896	0.13
TET2	HNSC	0.898	0.13
TSPAN14	HNSC	1.111	0.13
UBQLN4	HNSC	0.901	0.13
WDR81	HNSC	0.898	0.13
XKRX	HNSC	0.892	0.13
ZNF362	HNSC	0.897	0.13
ZNF547	HNSC	0.902	0.13
ZNF630	HNSC	0.901	0.13
A1BG	HNSC	0.896	0.14
ARL8A	HNSC	1.11	0.14
ARL9	HNSC	0.899	0.14
C10ORF55	HNSC	1.11	0.14
TMEM52B	HNSC	1.11	0.14
PROSER1	HNSC	1.112	0.14
C4A	HNSC	0.899	0.14
CIC	HNSC	0.901	0.14
CKMT2	HNSC	1.113	0.14
CNOT4	HNSC	0.901	0.14
CRAMP1L	HNSC	0.903	0.14
CUL1	HNSC	0.905	0.14
CYTH1	HNSC	0.904	0.14
ELK4	HNSC	0.9	0.14
ENC1	HNSC	1.11	0.14
FAM126B	HNSC	0.9	0.14
FASTKD2	HNSC	1.105	0.14
FXYD7	HNSC	0.897	0.14
GDF5	HNSC	0.895	0.14
GRIN2A	HNSC	0.901	0.14
GYPE	HNSC	0.896	0.14
HDAC4	HNSC	0.903	0.14
HHLA3	HNSC	1.114	0.14
KCTD16	HNSC	1.11	0.14
MN1	HNSC	1.113	0.14
MRPL9	HNSC	1.115	0.14
MYBPC2	HNSC	1.113	0.14
PCDHGA7	HNSC	1.11	0.14
PHKG1	HNSC	1.107	0.14
PIGB	HNSC	1.11	0.14
POLE	HNSC	0.899	0.14
PRPF19	HNSC	1.11	0.14
RAPGEF3	HNSC	0.9	0.14
RBM27	HNSC	1.11	0.14
RIMBP3	HNSC	0.899	0.14
RPS3	HNSC	1.106	0.14
SPRR4	HNSC	0.89	0.14
SPSB3	HNSC	0.906	0.14
THEMIS	HNSC	0.897	0.14
TMEM57	HNSC	0.905	0.14
TNNC2	HNSC	1.107	0.14
UCP2	HNSC	0.898	0.14
USP22	HNSC	0.9	0.14
ZSCAN26	HNSC	0.902	0.14
ZNF416	HNSC	0.9	0.14
ZNF486	HNSC	0.901	0.14
ZNF517	HNSC	0.903	0.14
ZNF527	HNSC	0.899	0.14
ZNF829	HNSC	0.899	0.14
ZNF836	HNSC	0.901	0.14
ZSWIM1	HNSC	1.106	0.14
ASIC4	HNSC	0.895	0.15
AKIRIN1	HNSC	1.102	0.15
AKR7L	HNSC	0.903	0.15
C12ORF23	HNSC	1.108	0.15
BRICD5	HNSC	0.901	0.15
FAXDC2	HNSC	0.904	0.15
CARS	HNSC	1.11	0.15
CLTC	HNSC	1.112	0.15
COX6B2	HNSC	0.902	0.15
DDX21	HNSC	1.102	0.15
DLGAP1	HNSC	0.901	0.15
DMBX1	HNSC	1.108	0.15
DUOX2	HNSC	0.9	0.15
FAM171A1	HNSC	0.903	0.15
IGLON5	HNSC	0.901	0.15
KCNG3	HNSC	0.898	0.15
LCE1C	HNSC	0.902	0.15
MGA	HNSC	0.902	0.15
MIB1	HNSC	0.905	0.15
MLL2	HNSC	0.903	0.15
MRRF	HNSC	1.107	0.15
NDRG1	HNSC	1.116	0.15
NRAS	HNSC	1.108	0.15
OSBPL6	HNSC	0.906	0.15
PCP4L1	HNSC	0.907	0.15
POLD1	HNSC	0.902	0.15
POT1	HNSC	1.105	0.15
RAB32	HNSC	1.111	0.15
RAE1	HNSC	1.104	0.15
SLC50A1	HNSC	1.104	0.15
RCCD1	HNSC	1.109	0.15
RDH14	HNSC	1.105	0.15
REXO1	HNSC	0.906	0.15
SCARF1	HNSC	0.907	0.15
SCN11A	HNSC	0.894	0.15
SGK1	HNSC	0.907	0.15
SMAD3	HNSC	1.108	0.15
SNX21	HNSC	0.901	0.15
TSEN15	HNSC	1.111	0.15
VSIG2	HNSC	0.901	0.15
ZC3H12A	HNSC	0.9	0.15
ZEB2	HNSC	0.903	0.15
ZNF534	HNSC	1.11	0.15
ZNF826P	HNSC	0.904	0.15
ZSWIM3	HNSC	0.903	0.15
ADAM20	HNSC	0.903	0.16
ARCN1	HNSC	1.103	0.16
ARID1A	HNSC	0.904	0.16
ASXL1	HNSC	0.906	0.16
BARD1	HNSC	0.906	0.16
BRIP1	HNSC	0.904	0.16
FAM222A	HNSC	0.904	0.16
C8ORF42	HNSC	0.906	0.16
CREG2	HNSC	1.103	0.16
CRYM	HNSC	0.902	0.16
ETV4	HNSC	1.104	0.16
ETV5	HNSC	1.105	0.16
MVB12A	HNSC	0.905	0.16
FAM3A	HNSC	1.104	0.16
FSTL3	HNSC	1.106	0.16
HIPK1	HNSC	0.908	0.16
HIST1H2BN	HNSC	1.104	0.16
KRTCAP3	HNSC	1.109	0.16
LILRA3	HNSC	0.907	0.16
LRP1	HNSC	0.908	0.16
LTV1	HNSC	1.1	0.16
MARS	HNSC	1.104	0.16
MPZ	HNSC	1.107	0.16
NLGN2	HNSC	0.904	0.16
OBSL1	HNSC	1.099	0.16
PCSK9	HNSC	0.904	0.16
PDE7A	HNSC	1.102	0.16
PHRF1	HNSC	0.906	0.16
POLR3H	HNSC	0.905	0.16
PRDM10	HNSC	0.907	0.16
PRDM16	HNSC	1.103	0.16
RFTN2	HNSC	0.906	0.16
SCAMP5	HNSC	0.905	0.16
SERPINB8	HNSC	0.902	0.16
SLC29A4	HNSC	1.109	0.16
SOX9	HNSC	1.101	0.16
SSBP3	HNSC	0.906	0.16
TCEB3	HNSC	1.103	0.16
TMEM233	HNSC	1.104	0.16
TRPC6	HNSC	0.906	0.16
TUBAL3	HNSC	0.901	0.16
UFSP2	HNSC	1.107	0.16
VWDE	HNSC	1.113	0.16
ZFP41	HNSC	0.908	0.16
ZNF432	HNSC	0.906	0.16
ZNF607	HNSC	0.906	0.16
ASIC3	HNSC	0.909	0.17
BCL6	HNSC	0.904	0.17
C9ORF129	HNSC	1.102	0.17
CDKN1B	HNSC	0.907	0.17
CFB	HNSC	0.909	0.17
CHCHD10	HNSC	1.099	0.17
CYP20A1	HNSC	0.904	0.17
CYP2C9	HNSC	0.905	0.17
DARC	HNSC	0.908	0.17
ENKUR	HNSC	0.907	0.17
ERBB2	HNSC	0.906	0.17
FAM157A	HNSC	0.907	0.17
GPM6A	HNSC	1.102	0.17
HDAC2	HNSC	1.101	0.17
HIST3H2A	HNSC	1.101	0.17
HMGA1	HNSC	1.1	0.17
LBP	HNSC	1.103	0.17
LEMD2	HNSC	1.101	0.17
MAML2	HNSC	0.906	0.17
MAP7D2	HNSC	0.906	0.17
MARK2	HNSC	1.105	0.17
NUDT8	HNSC	0.91	0.17
OSBPL9	HNSC	1.103	0.17
PHLPP1	HNSC	0.907	0.17
PLOD1	HNSC	1.102	0.17
PRRT4	HNSC	0.91	0.17
PSRC1	HNSC	1.105	0.17
SBK1	HNSC	0.905	0.17
SDR16C5	HNSC	0.902	0.17
SEC24C	HNSC	1.108	0.17
SLCO1C1	HNSC	0.906	0.17
SYT15	HNSC	0.909	0.17
TCAP	HNSC	1.101	0.17
THNSL1	HNSC	1.105	0.17
TMEM19	HNSC	0.91	0.17
TNFRSF14	HNSC	0.91	0.17
TUBGCP3	HNSC	1.102	0.17
UHRF2	HNSC	1.104	0.17
VPS36	HNSC	1.104	0.17
XBP1	HNSC	0.907	0.17
ZNF334	HNSC	1.101	0.17
ZNF556	HNSC	1.104	0.17
ZNF701	HNSC	0.906	0.17
ZNF845	HNSC	0.906	0.17
C16ORF93	HNSC	0.908	0.18
SMG9	HNSC	0.905	0.18
CCDC126	HNSC	1.102	0.18
CYP21A2	HNSC	0.911	0.18
EPB41L3	HNSC	0.91	0.18
ERCC3	HNSC	1.101	0.18
FAM105B	HNSC	0.911	0.18
FAM114A2	HNSC	1.098	0.18
FGFR1	HNSC	0.908	0.18
FKTN	HNSC	1.102	0.18
FLRT2	HNSC	1.102	0.18
FUS	HNSC	0.905	0.18
HSBP1L1	HNSC	1.102	0.18
IGF2BP3	HNSC	1.099	0.18
KDM6A	HNSC	0.906	0.18
MEPCE	HNSC	0.906	0.18
MEX3A	HNSC	0.904	0.18
MRPL44	HNSC	1.098	0.18
NUDT16	HNSC	0.906	0.18
NUP62	HNSC	0.909	0.18
RGS3	HNSC	1.096	0.18
RIT1	HNSC	1.095	0.18
SFT2D2	HNSC	0.908	0.18
SIK3	HNSC	0.911	0.18
SLC16A8	HNSC	0.907	0.18
SOHLH2	HNSC	1.102	0.18
TSFM	HNSC	1.096	0.18
UBE2L3	HNSC	1.097	0.18
ZNF529	HNSC	0.91	0.18
ZNF790	HNSC	0.914	0.18
ACE	HNSC	0.913	0.19
ARMC6	HNSC	0.91	0.19
ARX	HNSC	1.101	0.19
ATP5L2	HNSC	0.91	0.19
TMEM254	HNSC	1.093	0.19
C2CD4B	HNSC	0.91	0.19
C4ORF26	HNSC	1.094	0.19
CDKN2C	HNSC	0.911	0.19
COPS5	HNSC	1.092	0.19
CTDSP2	HNSC	0.912	0.19
DNAJC11	HNSC	1.096	0.19
EIF3I	HNSC	1.095	0.19
FAM198A	HNSC	0.915	0.19
GPR27	HNSC	1.1	0.19
IGSF9	HNSC	0.911	0.19
KATNAL1	HNSC	1.096	0.19
KRT37	HNSC	0.904	0.19
LAPTM5	HNSC	0.91	0.19
LHX5	HNSC	1.097	0.19
LMNA	HNSC	0.91	0.19
LYPD6B	HNSC	1.097	0.19
MBNL1	HNSC	0.913	0.19
MPV17	HNSC	1.097	0.19
MTERFD1	HNSC	1.092	0.19
PPT2	HNSC	1.1	0.19
PVRL3	HNSC	1.097	0.19
RAD50	HNSC	1.098	0.19
RNF212	HNSC	0.907	0.19
SETD5	HNSC	0.911	0.19
SGCB	HNSC	1.099	0.19
SPOP	HNSC	1.102	0.19
SRRM5	HNSC	0.911	0.19
TLE1	HNSC	0.912	0.19
TMEM156	HNSC	0.914	0.19
TMEM194A	HNSC	1.101	0.19
WDR55	HNSC	1.096	0.19
ZNF12	HNSC	1.095	0.19
ZNF213	HNSC	0.914	0.19
ZNF526	HNSC	0.913	0.19
ZNF568	HNSC	0.912	0.19
AOX1	HNSC	0.912	0.2
BCOR	HNSC	0.916	0.2
C12ORF4	HNSC	0.912	0.2
IRF2BPL	HNSC	0.916	0.2
MFSD12	HNSC	0.91	0.2
C21ORF58	HNSC	0.912	0.2
C7ORF55	HNSC	0.913	0.2
CBFA2T3	HNSC	0.914	0.2
DCUN1D4	HNSC	1.097	0.2
FAM177A1	HNSC	1.096	0.2
FAM200A	HNSC	1.095	0.2
FAM65B	HNSC	0.914	0.2
FCHSD1	HNSC	0.915	0.2
FIP1L1	HNSC	1.096	0.2
FKRP	HNSC	1.095	0.2
FOSL2	HNSC	0.911	0.2
HIST1H1E	HNSC	1.094	0.2
HIST1H2AL	HNSC	1.093	0.2
HSF4	HNSC	0.914	0.2
IER5L	HNSC	0.916	0.2
KHDC1	HNSC	1.095	0.2
KRTAP4-1	HNSC	1.102	0.2
KY	HNSC	1.093	0.2
MTCP1	HNSC	1.095	0.2
NETO1	HNSC	0.906	0.2
NFATC3	HNSC	0.914	0.2
PCDHB16	HNSC	1.096	0.2
PPP4C	HNSC	1.097	0.2
PSMD1	HNSC	1.097	0.2
PTPN23	HNSC	0.913	0.2
SHISA4	HNSC	1.094	0.2
SMARCD3	HNSC	1.094	0.2
SYNE1	HNSC	0.913	0.2
TEAD3	HNSC	0.914	0.2
TMBIM1	HNSC	1.103	0.2
WDR47	HNSC	0.915	0.2
ZSCAN5B	HNSC	0.914	0.2
EFCAB12	HNSC	0.912	0.21
ACADSB	HNSC	0.914	0.21
APC	HNSC	0.916	0.21
ARRDC3	HNSC	0.913	0.21
ATP6AP1L	HNSC	0.913	0.21
BUB1B	HNSC	1.097	0.21
TMEM260	HNSC	0.914	0.21
TMEM256	HNSC	1.091	0.21
C19ORF44	HNSC	0.912	0.21
CNPPD1	HNSC	0.916	0.21
WDPCP	HNSC	0.912	0.21
CCDC39	HNSC	0.916	0.21
CSNK1A1L	HNSC	1.091	0.21
CST4	HNSC	1.09	0.21
CYBB	HNSC	0.917	0.21
DDX6	HNSC	0.917	0.21
DGKH	HNSC	1.093	0.21
DLGAP3	HNSC	0.917	0.21
FAM13B	HNSC	0.913	0.21
FGD1	HNSC	0.917	0.21
GLTPD1	HNSC	0.916	0.21
HEMK1	HNSC	0.913	0.21
JAK2	HNSC	0.913	0.21
KIAA1211	HNSC	0.912	0.21
CEP44	HNSC	1.092	0.21
LEPROT	HNSC	1.094	0.21
WTH3DI	HNSC	1.096	0.21
MYH15	HNSC	1.092	0.21
NBPF14	HNSC	0.913	0.21
NT5C2	HNSC	0.916	0.21
NUP210	HNSC	0.918	0.21
PIK3R1	HNSC	0.914	0.21
PPP6C	HNSC	1.096	0.21
RBMS1	HNSC	1.093	0.21
ROBO3	HNSC	1.093	0.21
SELM	HNSC	0.915	0.21
SNAPC1	HNSC	1.096	0.21
SPATA2L	HNSC	1.092	0.21
TBX4	HNSC	0.914	0.21
TDRD6	HNSC	0.919	0.21
TLCD1	HNSC	1.095	0.21
TMEM168	HNSC	0.913	0.21
UBE2D3	HNSC	1.094	0.21
YWHAZ	HNSC	1.096	0.21
ZNF329	HNSC	0.915	0.21
ZNF484	HNSC	1.092	0.21
ZNF600	HNSC	0.915	0.21
ZNF709	HNSC	0.913	0.21
ZNF749	HNSC	0.913	0.21
ZNF793	HNSC	0.916	0.21
ZNF835	HNSC	0.911	0.21
ASB14	HNSC	0.915	0.22
C19ORF66	HNSC	0.92	0.22
C2CD4A	HNSC	0.918	0.22
CCDC22	HNSC	0.915	0.22
CCND3	HNSC	1.087	0.22
CD74	HNSC	0.915	0.22
ELF1	HNSC	1.092	0.22
KHDC1L	HNSC	0.915	0.22
KIAA1244	HNSC	1.096	0.22
LGALS9C	HNSC	0.915	0.22
LPPR2	HNSC	0.918	0.22
LRRC46	HNSC	0.915	0.22
MCOLN1	HNSC	0.915	0.22
NFIC	HNSC	0.918	0.22
NPEPL1	HNSC	0.917	0.22
OR2A4	HNSC	0.92	0.22
ROS1	HNSC	1.093	0.22
SCUBE1	HNSC	0.917	0.22
PNISR	HNSC	0.917	0.22
SLC41A3	HNSC	1.09	0.22
STK32B	HNSC	1.087	0.22
THAP10	HNSC	1.097	0.22
TMEM178A	HNSC	0.914	0.22
TMPRSS11F	HNSC	0.916	0.22
TP53	HNSC	0.914	0.22
TPX2	HNSC	1.091	0.22
UGT3A2	HNSC	1.095	0.22
YPEL5	HNSC	1.091	0.22
ZBED2	HNSC	1.093	0.22
ZEB1	HNSC	0.919	0.22
ZNF48	HNSC	0.912	0.22
ABHD2	HNSC	1.087	0.23
AGAP4	HNSC	0.915	0.23
AKT1	HNSC	1.089	0.23
ALG11	HNSC	1.09	0.23
PRRC2B	HNSC	0.919	0.23
C1ORF127	HNSC	0.917	0.23
C2ORF88	HNSC	0.92	0.23
MLIP	HNSC	1.089	0.23
DMRTA2	HNSC	0.915	0.23
FAM189B	HNSC	1.09	0.23
FANCF	HNSC	1.087	0.23
FGFR4	HNSC	1.089	0.23
HMCN1	HNSC	0.922	0.23
ITGB4	HNSC	1.091	0.23
KCNE2	HNSC	0.914	0.23
LYPD5	HNSC	0.916	0.23
MYL3	HNSC	1.09	0.23
NOTCH1	HNSC	0.918	0.23
NSMCE4A	HNSC	0.917	0.23
RDH13	HNSC	0.92	0.23
RET	HNSC	1.089	0.23
RSRC2	HNSC	1.087	0.23
SCRN3	HNSC	1.088	0.23
SLC6A4	HNSC	0.918	0.23
STAT3	HNSC	0.918	0.23
SYT5	HNSC	1.089	0.23
TCF20	HNSC	0.919	0.23
TMEM155	HNSC	0.917	0.23
TMEM50A	HNSC	1.086	0.23
TRPV3	HNSC	0.911	0.23
TSC2	HNSC	0.92	0.23
TSNARE1	HNSC	0.92	0.23
UNC13A	HNSC	0.916	0.23
ZNF581	HNSC	1.088	0.23
ZNF583	HNSC	0.917	0.23
ZNF766	HNSC	0.918	0.23
ADAMTSL2	HNSC	0.923	0.24
APEX2	HNSC	0.922	0.24
ATP2A2	HNSC	1.087	0.24
BMPER	HNSC	1.088	0.24
C11ORF48	HNSC	1.086	0.24
CCNYL1	HNSC	1.086	0.24
CLDND2	HNSC	0.914	0.24
CLEC4F	HNSC	0.915	0.24
CORT	HNSC	0.917	0.24
CSF1R	HNSC	0.919	0.24
CSMD1	HNSC	0.911	0.24
CTAGE6	HNSC	0.918	0.24
CTNND2	HNSC	0.914	0.24
CUL3	HNSC	0.921	0.24
FAM102A	HNSC	0.919	0.24
FAM58A	HNSC	1.087	0.24
FSCN2	HNSC	0.919	0.24
HOXA13	HNSC	1.091	0.24
HOXC11	HNSC	1.087	0.24
IL1RL2	HNSC	1.087	0.24
IRX6	HNSC	0.917	0.24
KAL1	HNSC	0.919	0.24
KCNMB1	HNSC	0.918	0.24
KIAA1949	HNSC	1.091	0.24
LPHN2	HNSC	0.919	0.24
LYPD6	HNSC	0.917	0.24
METRN	HNSC	1.086	0.24
NPAT	HNSC	0.919	0.24
ORC5	HNSC	1.089	0.24
PCDHGB7	HNSC	1.088	0.24
PEX26	HNSC	1.091	0.24
RBFOX2	HNSC	1.088	0.24
RGL2	HNSC	0.917	0.24
RPL5	HNSC	1.086	0.24
SETD2	HNSC	0.922	0.24
SLC38A11	HNSC	0.921	0.24
SNRPC	HNSC	1.087	0.24
ST6GALNAC3	HNSC	0.922	0.24
STAG2	HNSC	1.087	0.24
SUOX	HNSC	0.919	0.24
TEK	HNSC	0.923	0.24
TMEM200C	HNSC	0.914	0.24
TSTD2	HNSC	0.922	0.24
VRK3	HNSC	0.922	0.24
ZNF182	HNSC	0.919	0.24
AADAT	HNSC	1.084	0.25
ACVR1	HNSC	1.08	0.25
B4GALT5	HNSC	1.086	0.25
ASUN	HNSC	1.082	0.25
C19ORF73	HNSC	0.92	0.25
C6ORF62	HNSC	0.922	0.25
CHD4	HNSC	1.088	0.25
CSNK1D	HNSC	1.081	0.25
CT62	HNSC	1.086	0.25
DSG4	HNSC	0.919	0.25
ELF3	HNSC	0.924	0.25
FNBP4	HNSC	0.92	0.25
FREM2	HNSC	1.083	0.25
HSPA14	HNSC	0.922	0.25
ILK	HNSC	1.086	0.25
LRP5L	HNSC	0.923	0.25
MATN3	HNSC	1.085	0.25
MFN1	HNSC	1.085	0.25
NME2P1	HNSC	1.085	0.25
PYGO2	HNSC	0.921	0.25
SIGLEC12	HNSC	0.923	0.25
SIGLEC14	HNSC	0.919	0.25
SLC4A2	HNSC	0.924	0.25
SLC9A1	HNSC	1.084	0.25
SPATA17	HNSC	1.083	0.25
SVIP	HNSC	0.921	0.25
TEC	HNSC	0.92	0.25
ZFP92	HNSC	1.085	0.25
ZIC1	HNSC	0.915	0.25
ZSCAN16	HNSC	0.922	0.25
ACTR2	HNSC	1.082	0.26
ALOXE3	HNSC	0.915	0.26
ATM	HNSC	0.92	0.26
AXIN2	HNSC	0.924	0.26
C8ORF31	HNSC	0.919	0.26
CECR6	HNSC	0.921	0.26
COPS3	HNSC	1.081	0.26
CRKL	HNSC	1.086	0.26
CYP2C8	HNSC	0.919	0.26
DIP2C	HNSC	0.925	0.26
EBPL	HNSC	1.084	0.26
FAM155B	HNSC	1.08	0.26
HOXC13	HNSC	1.084	0.26
KRT86	HNSC	0.922	0.26
MCEE	HNSC	0.924	0.26
MRPL28	HNSC	1.081	0.26
MS4A14	HNSC	0.924	0.26
NFYA	HNSC	0.925	0.26
NRBP1	HNSC	0.921	0.26
PCBP1	HNSC	1.079	0.26
PLXNB2	HNSC	0.925	0.26
PPP2R5C	HNSC	1.084	0.26
PRKAR1A	HNSC	1.083	0.26
PTPRK	HNSC	1.085	0.26
RAB14	HNSC	1.081	0.26
RB1	HNSC	1.083	0.26
RBM44	HNSC	0.92	0.26
RERE	HNSC	0.924	0.26
SDHA	HNSC	1.084	0.26
SF1	HNSC	1.083	0.26
SLC47A1	HNSC	0.926	0.26
SNX32	HNSC	0.92	0.26
TUT1	HNSC	1.086	0.26
UBAP2	HNSC	1.081	0.26
USP35	HNSC	0.92	0.26
WASF2	HNSC	0.923	0.26
XPO1	HNSC	1.086	0.26
ZNF778	HNSC	0.923	0.26
ZNF781	HNSC	0.925	0.26
ZNF785	HNSC	0.923	0.26
AKR1B15	HNSC	0.922	0.27
ATXN2L	HNSC	1.086	0.27
C10ORF67	HNSC	1.083	0.27
C12ORF76	HNSC	1.082	0.27
C15ORF38	HNSC	1.079	0.27
C17ORF49	HNSC	0.921	0.27
C19ORF55	HNSC	0.926	0.27
