Gene	BLCA_HR	BRCA_HR	CESC_HR	COAD_HR	ESCA_HR	GBM_HR	HNSC_HR	KIRC_HR	KIRP_HR	LAML_HR	LGG_HR	LIHC_HR	LUAD_HR	LUSC_HR	OV_HR	PAAD_HR	READ_HR	SARC_HR	SKCM_HR	STAD_HR	UCEC_HR	BLCA_HR_Pvalue	BRCA_HR_Pvalue	CESC_HR_Pvalue	COAD_HR_Pvalue	ESCA_HR_Pvalue	GBM_HR_Pvalue	HNSC_HR_Pvalue	KIRC_HR_Pvalue	KIRP_HR_Pvalue	LAML_HR_Pvalue	LGG_HR_Pvalue	LIHC_HR_Pvalue	LUAD_HR_Pvalue	LUSC_HR_Pvalue	OV_HR_Pvalue	PAAD_HR_Pvalue	READ_HR_Pvalue	SARC_HR_Pvalue	SKCM_HR_Pvalue	STAD_HR_Pvalue	UCEC_HR_Pvalue
UBQLN4	0.879	1.112	1.041	1.072	0.907	0.862	0.901	1.263	1.659	1.048	0.605	1.2	1.026	0.985	0.931	1.107	1.106	1.266	1.239	0.933	1.176	0.095	0.24	0.75	0.49	0.44	0.11	0.13	0.0033	9.1E-4	0.67	3.8E-7	0.033	0.72	0.83	0.33	0.35	0.62	0.037	0.0022	0.41	0.16
SAE1	1.073	1.176	0.849	0.962	1.031	0.916	1.042	1.114	1.746	1.19	1.169	1.385	1.239	0.89	1.102	1.106	1.144	1.239	1.289	1.033	0.972	0.37	0.091	0.2	0.7	0.83	0.32	0.57	0.18	0.0012	0.12	0.098	8.9E-4	0.0064	0.1	0.18	0.39	0.55	0.035	2.8E-4	0.71	0.8
POU2F2	0.932	0.888	1.003	1.212	1.018	1.143	0.932	1.241	1.219	1.087	1.069	1.067	0.892	1.099	1.049	0.872	1.176	0.87	0.789	1.041	0.99	0.37	0.17	0.98	0.064	0.89	0.18	0.35	0.0066	0.18	0.43	0.48	0.47	0.12	0.16	0.52	0.21	0.46	0.21	6.6E-4	0.65	0.92
BAP1	1.041	0.871	0.919	0.984	0.809	1.039	0.834	1.136	0.602	1.124	0.796	1.002	0.859	0.902	0.959	0.781	0.76	1.187	1.162	0.973	0.885	0.58	0.15	0.53	0.88	0.11	0.68	0.011	0.095	0.0016	0.26	0.012	0.98	0.046	0.13	0.57	0.022	0.15	0.099	0.043	0.74	0.23
XRCC1	0.952	0.833	0.821	1.021	0.965	0.905	0.957	1.172	0.935	1.104	1.18	1.01	1.05	0.887	0.988	0.831	1.05	1.032	1.086	1.081	1.095	0.52	0.035	0.13	0.85	0.81	0.28	0.55	0.046	0.66	0.36	0.086	0.92	0.51	0.087	0.89	0.098	0.79	0.76	0.27	0.38	0.38
KCTD10	1.157	1.228	1.099	0.98	1.131	1.18	0.976	0.972	1.027	0.98	1.022	1.111	0.948	1.176	1.107	0.932	1.512	0.839	1.171	1.177	0.999	0.051	0.023	0.49	0.84	0.33	0.1	0.74	0.72	0.86	0.86	0.82	0.24	0.45	0.02	0.2	0.55	0.029	0.082	0.019	0.062	0.99
OSBPL9	1.031	0.979	1.331	0.916	0.995	1.118	1.103	0.987	0.985	0.864	1.505	0.995	0.939	1.103	1.053	1.123	0.782	1.298	1.128	1.443	1.219	0.68	0.81	0.034	0.39	0.97	0.26	0.17	0.87	0.92	0.18	8.8E-6	0.96	0.4	0.15	0.5	0.27	0.3	0.013	0.098	3.4E-5	0.055
PPP2R4	1.101	1.046	0.819	1.179	0.91	1.106	1.043	1.075	0.718	1.418	0.808	0.965	1.064	1.109	1.058	0.877	1.475	0.826	1.021	0.912	0.996	0.21	0.61	0.13	0.11	0.48	0.26	0.55	0.35	0.037	0.0021	0.028	0.69	0.42	0.12	0.45	0.24	0.11	0.071	0.75	0.24	0.97
RNF214	1.148	1.054	1.191	1.029	0.854	0.858	1.023	1.0	0.715	0.947	0.94	1.235	1.002	1.0	0.899	1.08	0.872	1.189	0.981	1.022	1.037	0.084	0.55	0.19	0.78	0.31	0.091	0.74	1.0	0.024	0.6	0.5	0.028	0.98	1.0	0.17	0.53	0.59	0.099	0.77	0.79	0.72
TNFRSF14	0.718	0.666	0.863	1.129	0.955	1.16	0.91	1.175	0.707	0.97	1.56	1.021	0.841	1.088	0.959	0.859	0.848	0.775	1.04	0.851	0.831	5.5E-5	8.5E-6	0.24	0.25	0.75	0.12	0.17	0.051	0.035	0.79	8.0E-7	0.82	0.021	0.22	0.59	0.19	0.43	0.018	0.55	0.054	0.083
NEDD8	1.125	0.876	1.101	0.932	1.263	1.0	1.146	0.958	1.0	1.205	0.679	1.005	1.102	0.898	0.992	1.167	1.451	1.045	1.06	1.091	0.948	0.12	0.13	0.45	0.48	0.1	1.0	0.052	0.59	1.0	0.087	6.1E-5	0.96	0.21	0.14	0.91	0.17	0.12	0.66	0.42	0.27	0.6
FAM19A2	1.074	1.174	0.998	1.006	0.961	1.063	1.037	1.109	0.676	0.841	0.639	0.973	1.019	1.003	1.132	0.683	1.107	1.032	0.895	1.223	0.99	0.34	0.065	0.99	0.95	0.78	0.51	0.62	0.19	0.013	0.081	1.1E-6	0.76	0.8	0.97	0.12	6.3E-4	0.59	0.76	0.091	0.016	0.92
PTPRS	0.899	1.043	0.759	1.15	0.905	0.986	0.86	1.263	1.542	0.766	0.721	1.028	1.037	0.977	1.112	0.795	1.063	0.98	1.097	1.021	1.095	0.17	0.63	0.034	0.14	0.48	0.87	0.035	0.0031	0.0059	0.03	0.0011	0.76	0.65	0.76	0.17	0.028	0.75	0.85	0.17	0.81	0.4
NUMA1	0.944	0.775	1.077	1.368	0.734	1.024	0.966	1.102	0.826	0.994	0.727	0.952	0.892	1.033	0.987	0.877	0.925	0.922	0.957	1.016	1.04	0.48	0.0067	0.58	0.0041	0.039	0.79	0.63	0.26	0.2	0.96	5.1E-4	0.57	0.13	0.64	0.86	0.23	0.72	0.42	0.57	0.84	0.72
PAF1	0.986	0.849	0.903	1.052	1.028	0.865	0.972	1.04	0.894	1.365	1.236	0.999	1.069	0.965	1.065	0.902	1.223	0.899	1.049	1.144	1.077	0.86	0.053	0.45	0.62	0.84	0.13	0.68	0.63	0.47	0.0051	0.025	0.99	0.38	0.62	0.43	0.33	0.31	0.29	0.52	0.11	0.48
EPHA6	NA	1.143	NA	NA	0.914	NA	NA	0.956	1.131	NA	0.862	NA	NA	0.989	1.011	0.97	NA	0.996	NA	NA	1.212	NA	0.15	NA	NA	0.54	NA	NA	0.57	0.46	NA	0.11	NA	NA	0.88	0.89	0.78	NA	0.97	NA	NA	0.074
XRCC3	0.934	0.935	0.823	1.13	0.811	0.932	0.998	1.659	1.461	1.126	1.136	1.311	1.124	0.929	0.953	0.871	1.067	1.215	1.091	0.967	1.05	0.38	0.47	0.13	0.24	0.14	0.47	0.97	3.0E-10	0.016	0.27	0.17	0.0048	0.12	0.26	0.53	0.17	0.76	0.055	0.19	0.69	0.65
TOM1L2	1.061	0.913	0.785	1.096	1.049	1.208	0.865	0.937	0.444	0.907	0.664	0.823	0.898	1.054	1.143	0.674	1.112	0.966	1.066	0.957	1.033	0.43	0.33	0.087	0.37	0.7	0.037	0.057	0.42	1.7E-6	0.34	6.7E-5	0.036	0.15	0.45	0.078	4.4E-4	0.64	0.73	0.4	0.6	0.77
CHEK2	0.87	1.002	0.933	0.96	0.97	0.966	1.041	1.439	1.179	0.963	1.748	1.125	1.011	0.764	0.936	1.184	0.794	1.036	0.971	0.874	0.966	0.062	0.98	0.61	0.69	0.83	0.73	0.59	1.0E-5	0.28	0.73	2.0E-7	0.21	0.87	1.7E-4	0.4	0.11	0.37	0.72	0.66	0.11	0.75
DMD	1.113	0.907	0.975	1.139	0.961	1.02	0.974	0.991	1.683	0.863	1.463	1.017	0.791	0.973	0.935	0.807	1.971	0.948	0.997	1.208	0.965	0.16	0.28	0.84	0.18	0.78	0.83	0.71	0.91	0.0012	0.22	3.9E-5	0.85	0.0026	0.7	0.39	0.061	0.0031	0.58	0.96	0.024	0.73
NOL4	NA	0.949	NA	NA	NA	1.072	NA	0.978	0.864	NA	0.743	NA	1.062	NA	NA	0.762	NA	NA	NA	1.189	NA	NA	0.58	NA	NA	NA	0.49	NA	0.78	0.38	NA	0.002	NA	0.45	NA	NA	0.015	NA	NA	NA	0.048	NA
FGF12	0.931	0.992	1.228	1.13	0.929	0.956	1.014	0.912	0.726	NA	0.667	0.912	1.167	0.911	1.022	0.883	1.583	1.052	0.976	1.189	1.136	0.35	0.92	0.12	0.25	0.61	0.65	0.84	0.28	0.027	NA	3.8E-6	0.3	0.046	0.17	0.77	0.23	0.045	0.64	0.71	0.043	0.25
POLE	0.946	1.02	0.7	1.045	0.856	1.033	0.899	1.528	1.559	1.104	1.276	1.054	1.08	1.014	0.96	0.953	0.772	1.405	1.231	0.935	1.066	0.49	0.82	0.0081	0.69	0.28	0.72	0.14	6.5E-9	0.0061	0.39	0.014	0.56	0.28	0.84	0.59	0.65	0.27	0.0029	0.0024	0.43	0.57
TEK	1.093	1.007	1.19	1.018	0.969	1.025	0.923	0.663	1.266	0.885	0.937	0.802	0.852	1.118	0.988	0.918	1.254	0.856	0.998	1.21	0.97	0.24	0.94	0.21	0.85	0.83	0.79	0.24	1.8E-6	0.13	0.25	0.47	0.016	0.03	0.11	0.88	0.44	0.29	0.14	0.98	0.024	0.8
PTPRC	0.94	0.916	0.795	0.966	1.054	1.044	0.829	0.903	1.179	1.103	1.551	0.883	0.811	1.087	1.003	0.94	1.026	0.747	0.716	1.045	0.821	0.42	0.3	0.062	0.73	0.7	0.64	0.0092	0.18	0.31	0.36	2.2E-6	0.17	0.0049	0.24	0.97	0.57	0.91	0.0089	1.1E-6	0.62	0.057
ZNF750	1.106	1.187	0.847	1.231	1.155	0.909	0.93	1.072	NA	0.798	1.064	0.984	0.779	0.942	1.142	0.827	1.017	0.824	1.238	1.052	1.085	0.2	0.054	0.21	0.047	0.28	0.37	0.33	0.38	NA	0.05	0.52	0.87	0.0012	0.38	0.075	0.11	0.94	0.089	0.0076	0.55	0.42
PTPRD	1.259	1.005	1.392	0.828	0.767	1.029	1.056	1.007	0.792	0.891	0.88	1.016	0.953	1.044	1.256	0.875	1.044	1.22	1.1	1.329	1.16	0.0038	0.96	0.013	0.062	0.072	0.76	0.43	0.92	0.13	0.3	0.25	0.86	0.51	0.53	0.0046	0.22	0.82	0.062	0.16	9.8E-4	0.14
GRIN2A	1.101	0.994	0.977	NA	0.832	1.111	0.901	0.927	1.219	NA	0.908	1.01	0.881	1.064	0.972	0.957	NA	0.978	0.954	1.175	1.209	0.25	0.95	0.87	NA	0.2	0.26	0.14	0.33	0.21	NA	0.31	0.92	0.1	0.36	0.69	0.68	NA	0.84	0.5	0.053	0.056
ZIC4	NA	0.998	NA	NA	NA	1.185	NA	NA	NA	NA	1.14	NA	NA	NA	1.117	NA	NA	0.961	1.091	NA	NA	NA	0.99	NA	NA	NA	0.054	NA	NA	NA	NA	0.17	NA	NA	NA	0.19	NA	NA	0.7	0.21	NA	NA
PDE4D	0.999	1.024	1.136	0.932	0.98	1.035	0.967	0.758	0.719	0.804	1.08	1.106	1.092	1.072	0.974	0.929	0.986	0.793	0.934	1.043	1.145	0.99	0.79	0.38	0.48	0.88	0.72	0.65	3.7E-4	0.038	0.054	0.41	0.28	0.24	0.34	0.72	0.51	0.95	0.021	0.32	0.63	0.19
PRKCB	0.902	0.824	0.697	0.956	0.993	1.126	0.822	0.93	0.959	1.026	0.74	0.891	0.774	1.063	1.033	0.844	0.976	0.703	0.872	1.133	0.935	0.16	0.026	0.0039	0.65	0.96	0.22	0.0067	0.33	0.79	0.8	0.0018	0.22	0.001	0.38	0.66	0.12	0.91	0.0017	0.042	0.17	0.51
CSMD1	NA	0.965	NA	NA	0.883	1.057	0.911	0.998	1.197	NA	0.737	NA	0.922	0.947	NA	1.047	NA	1.011	0.902	1.164	0.984	NA	0.69	NA	NA	0.38	0.55	0.24	0.98	0.23	NA	0.0021	NA	0.29	0.44	NA	0.67	NA	0.92	0.15	0.076	0.88
PTH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBFOX1	NA	NA	NA	NA	NA	1.198	NA	NA	NA	NA	0.871	NA	NA	NA	1.049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.064	NA	NA	NA	NA	0.13	NA	NA	NA	0.55	NA	NA	NA	NA	NA	NA
ZBTB38	1.063	1.08	1.202	0.938	0.919	1.06	0.982	0.812	1.439	1.19	1.226	1.049	1.155	0.929	1.171	1.322	0.725	0.895	0.819	1.067	0.99	0.42	0.41	0.2	0.54	0.51	0.52	0.8	0.01	0.031	0.12	0.034	0.59	0.073	0.28	0.042	0.013	0.13	0.3	0.0061	0.44	0.92
RAPGEF1	1.064	0.994	0.929	1.239	0.894	1.054	1.003	0.861	0.778	1.058	1.013	1.058	0.897	1.166	1.029	0.751	1.07	0.899	1.057	1.0	0.881	0.41	0.94	0.55	0.044	0.45	0.55	0.97	0.072	0.13	0.59	0.88	0.56	0.14	0.029	0.7	0.014	0.78	0.33	0.43	1.0	0.22
PRRC2B	1.103	1.134	1.095	1.239	0.779	0.977	0.919	0.929	0.912	0.894	0.966	1.053	0.951	1.088	1.09	0.776	1.143	1.127	1.172	0.933	1.0	0.19	0.18	0.48	0.029	0.14	0.8	0.23	0.39	0.54	0.3	0.7	0.59	0.5	0.24	0.24	0.033	0.59	0.28	0.031	0.42	1.0
MRVI1	1.117	1.258	0.972	1.113	0.986	1.01	0.874	0.94	1.557	0.999	0.754	0.819	0.945	1.11	1.117	0.984	1.315	0.722	0.99	1.151	0.906	0.14	0.013	0.83	0.27	0.91	0.91	0.058	0.42	0.0033	0.99	0.0023	0.033	0.44	0.13	0.17	0.89	0.18	0.0016	0.88	0.088	0.38
ANKRD44	0.882	0.982	1.032	1.046	0.845	0.999	0.85	0.85	0.992	0.878	1.13	0.951	0.804	1.099	1.075	0.907	1.036	0.948	0.871	1.083	1.054	0.11	0.83	0.81	0.67	0.24	1.0	0.024	0.033	0.96	0.2	0.2	0.6	0.0036	0.17	0.35	0.34	0.84	0.59	0.062	0.37	0.59
DICER1	1.114	0.987	1.14	0.984	0.838	0.922	0.966	1.043	1.138	0.791	1.051	1.026	0.989	0.891	1.032	0.866	1.008	0.981	0.926	1.085	1.022	0.18	0.89	0.31	0.88	0.22	0.37	0.64	0.58	0.41	0.026	0.63	0.78	0.89	0.091	0.65	0.17	0.97	0.85	0.27	0.32	0.84
TFAP2D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPL14P1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIAA1267	1.001	1.022	1.079	1.115	0.852	0.964	0.971	1.158	1.279	0.847	0.816	1.169	0.886	1.021	1.124	0.939	0.75	0.99	0.946	0.993	1.102	0.99	0.82	0.57	0.29	0.24	0.68	0.68	0.07	0.11	0.14	0.033	0.091	0.1	0.77	0.13	0.59	0.23	0.93	0.41	0.93	0.35
DLGAP1	0.928	0.827	NA	1.098	0.824	1.023	0.901	0.934	0.825	0.851	0.751	NA	1.004	0.974	0.972	0.729	1.063	1.322	1.036	1.175	1.068	0.35	0.033	NA	0.39	0.14	0.82	0.15	0.43	0.24	0.17	0.0049	NA	0.96	0.71	0.7	0.0054	0.77	0.0095	0.59	0.06	0.52
PBRM1	0.966	0.975	1.106	0.888	0.924	0.935	0.855	0.973	0.773	0.881	1.076	1.101	0.944	0.972	0.98	1.144	0.823	1.187	1.045	1.131	0.938	0.64	0.77	0.44	0.25	0.58	0.43	0.029	0.73	0.1	0.25	0.41	0.29	0.45	0.69	0.79	0.23	0.38	0.099	0.52	0.14	0.52
CELF1	1.028	1.061	1.264	1.282	0.869	1.018	1.024	1.156	1.15	0.864	0.935	0.98	0.954	0.995	1.026	1.015	0.869	1.037	1.007	0.951	1.014	0.72	0.49	0.062	0.014	0.28	0.83	0.74	0.067	0.37	0.21	0.46	0.81	0.51	0.94	0.72	0.9	0.56	0.73	0.92	0.55	0.9
MACF1	1.12	1.015	1.24	1.105	1.035	0.989	0.925	0.847	0.918	0.915	1.67	0.986	0.844	1.068	1.053	1.116	1.063	0.915	0.915	1.112	1.041	0.14	0.86	0.095	0.32	0.81	0.9	0.28	0.039	0.59	0.4	2.0E-7	0.87	0.024	0.33	0.47	0.32	0.81	0.35	0.19	0.2	0.71
SPHAR	0.822	1.036	0.864	0.958	1.293	0.861	0.966	1.068	1.107	0.926	0.94	0.886	0.952	0.926	0.985	0.919	1.379	0.909	0.921	1.187	1.04	0.014	0.69	0.27	0.67	0.057	0.13	0.63	0.42	0.48	0.44	0.5	0.22	0.52	0.24	0.85	0.43	0.15	0.36	0.23	0.038	0.71
NGEF	0.947	1.023	1.02	1.165	0.864	1.131	0.999	0.994	0.844	NA	0.856	0.888	1.313	1.021	1.041	1.285	1.117	1.044	1.031	0.99	1.086	0.48	0.8	0.88	0.15	0.31	0.2	0.99	0.94	0.25	NA	0.1	0.19	4.6E-4	0.77	0.57	0.021	0.63	0.68	0.64	0.9	0.46
RGS3	1.049	1.275	1.271	1.341	0.867	1.155	1.096	1.292	0.963	0.977	1.413	1.058	0.82	1.213	0.977	1.175	1.338	1.258	0.992	0.888	0.985	0.54	0.0049	0.071	0.0056	0.31	0.13	0.18	0.0031	0.81	0.83	1.2E-4	0.53	0.0089	0.0038	0.75	0.14	0.18	0.034	0.9	0.17	0.89
AHCTF1	1.067	1.065	1.212	1.055	0.896	0.964	1.004	0.961	2.33	0.909	1.066	1.073	1.177	0.93	0.947	1.166	1.382	1.118	0.978	1.138	1.007	0.42	0.49	0.16	0.59	0.4	0.67	0.96	0.59	3.9E-6	0.39	0.49	0.42	0.027	0.29	0.46	0.18	0.19	0.27	0.77	0.14	0.94
RSRC2	0.898	0.972	0.951	1.091	1.051	0.966	1.087	1.264	1.168	0.936	0.82	1.048	0.959	0.966	0.97	1.132	1.467	1.332	0.905	0.956	1.049	0.16	0.74	0.68	0.39	0.73	0.7	0.23	0.0017	0.29	0.55	0.031	0.59	0.6	0.63	0.68	0.25	0.094	0.007	0.19	0.61	0.65
YTHDC1	0.832	1.007	0.901	0.921	1.169	0.951	0.963	0.919	0.823	0.894	0.767	1.02	0.938	0.916	1.042	0.832	1.067	1.164	0.896	0.913	0.924	0.017	0.94	0.4	0.42	0.28	0.58	0.6	0.31	0.23	0.29	0.0057	0.83	0.4	0.22	0.59	0.13	0.79	0.15	0.14	0.3	0.45
C20ORF112	0.833	0.878	1.204	1.031	0.821	1.049	1.075	1.265	1.39	0.994	1.07	1.12	1.018	1.226	1.163	1.005	0.884	1.097	0.991	0.96	1.25	0.014	0.16	0.16	0.77	0.15	0.58	0.31	0.0032	0.032	0.95	0.45	0.28	0.82	0.0038	0.049	0.96	0.61	0.39	0.89	0.63	0.021
FAM193A	0.849	0.924	1.051	0.993	0.779	0.95	0.796	1.203	0.961	0.963	0.937	1.049	0.997	1.062	1.009	0.679	1.06	1.149	1.029	0.906	0.911	0.033	0.41	0.7	0.95	0.051	0.57	0.0019	0.015	0.79	0.71	0.44	0.61	0.97	0.39	0.9	0.0013	0.8	0.21	0.69	0.26	0.39
DDX39B	0.746	0.944	1.172	1.199	0.956	0.823	1.005	1.634	0.984	0.944	0.818	1.02	0.922	0.947	0.925	0.855	0.717	1.438	1.242	0.94	0.955	9.2E-5	0.55	0.25	0.078	0.73	0.025	0.94	4.7E-10	0.92	0.59	0.037	0.82	0.24	0.42	0.31	0.13	0.074	7.0E-4	0.0016	0.45	0.66
IGLL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRCC	0.946	0.969	0.983	1.097	0.962	0.98	0.933	1.259	2.287	1.194	0.831	1.225	1.072	0.938	0.836	0.885	1.287	1.043	1.2	1.013	1.168	0.48	0.71	0.89	0.37	0.79	0.83	0.34	0.0038	3.3E-7	0.1	0.048	0.019	0.37	0.35	0.014	0.32	0.23	0.68	0.01	0.88	0.19
C16ORF72	1.164	1.156	1.163	0.922	1.071	0.982	1.189	0.79	1.191	1.029	0.997	0.863	1.049	1.026	1.06	1.213	0.791	1.029	0.922	1.036	0.893	0.037	0.11	0.24	0.43	0.66	0.84	0.021	0.0021	0.23	0.8	0.98	0.1	0.51	0.72	0.46	0.071	0.24	0.79	0.25	0.68	0.29
KANSL3	0.852	0.923	0.938	1.266	0.784	0.967	0.894	1.462	0.99	0.913	1.496	1.006	0.882	1.028	1.003	0.743	1.035	1.023	1.068	1.006	1.059	0.029	0.37	0.64	0.028	0.06	0.7	0.1	2.0E-6	0.95	0.35	5.3E-6	0.94	0.079	0.69	0.96	0.0096	0.87	0.84	0.35	0.94	0.59
FAM102A	1.003	1.018	0.723	1.35	0.814	1.062	0.919	1.152	1.272	1.013	0.967	0.941	1.005	1.004	1.052	1.074	1.313	0.783	1.109	0.98	1.059	0.97	0.85	0.0086	0.0035	0.14	0.5	0.24	0.081	0.14	0.91	0.72	0.49	0.95	0.96	0.45	0.51	0.25	0.024	0.14	0.81	0.59
ELMSAN1	1.106	0.851	0.936	1.125	0.969	1.012	0.955	1.041	1.328	0.986	0.801	1.038	1.018	1.054	1.337	1.043	1.026	0.993	0.933	1.016	1.021	0.18	0.078	0.59	0.25	0.84	0.91	0.51	0.6	0.068	0.9	0.019	0.67	0.8	0.47	3.3E-4	0.7	0.9	0.95	0.3	0.85	0.84
AMER1	0.988	1.152	0.832	1.189	0.909	0.912	0.951	1.024	1.442	1.064	0.98	0.986	0.972	0.878	1.096	1.106	0.8	1.242	1.021	0.923	1.039	0.88	0.094	0.16	0.079	0.49	0.28	0.5	0.76	0.015	0.55	0.83	0.87	0.7	0.061	0.25	0.35	0.33	0.038	0.75	0.33	0.72
ARHGAP35	1.138	1.073	1.089	1.006	0.846	0.952	0.941	0.792	0.897	0.818	0.978	0.973	0.962	0.968	1.268	0.817	0.878	1.188	0.966	0.955	1.054	0.077	0.44	0.51	0.95	0.23	0.56	0.38	0.0038	0.5	0.058	0.8	0.75	0.6	0.65	0.0017	0.087	0.58	0.079	0.61	0.6	0.62
